Idioms,Meaning 1,Meaning 2,Meaning 3,Meaning 4,Meaning 5,Sentence 1,Sentence 2,Sentence 3,Sentence 4
get off lightly,to receive very little punishment (for doing something wrong).,,,,,"It was a serious crime, but Mary got off lightly. ","Billy’s punishment was very light. Considering what he did, he got off lightly. ",,
get off to a flying start,to have a very successful beginning to something.,,,,,The new business got off to a flying start with those export orders. ,We shall need a large donation from the local council if the charity is to get off to a flying start. ,,
get one’s come-uppance,to get a reprimand, to get the punishment one deserves.,,,,"Tom is always insulting people, but he finally got his come-uppance. Bill hit him. ",I hope I don’t get my come-uppance like that. ,,
get one’s fill of someone or something,to receive enough of someone or something.,,,,,You’ll soon get your fill of Tom. He can be quite a pest. ,I can never get my fill of shrimps. I love them. ,Three weeks of visiting grandchildren is enough. I’ve had my fill of them. ,
get one’s fingers burned,to have a bad experience.,,,,,I tried that once before and got my fingers burned. I won’t try it again. ,"If you buy shares and get your fingers burned, you then tend to leave your money in the bank. ",,
get one’s foot in the door,to achieve a favorable position (for further action)," to take the first step in a process. (People selling things from door to door used to block the door with a foot, so it could not be closed on them.)",,,,I think I could get the position if I could only get my foot in the door. ,It pays to get your foot in the door. Try to get an appointment with the managing director. ,I have a better chance now that I have my foot in the door.,
get one’s just deserts,to get what one deserves.,,,,,I feel better now that Jane got her just deserts. She really insulted me. ,Bill got back exactly the treatment which he gave out. He got his just deserts. ,,
get one’s money’s worth,to get everything that has been paid for, to get the best quality for the money paid.,,,,Weigh that pack of meat before you buy it. Be sure you’re getting your money’s worth. ,The show was so bad we felt we hadn’t got our money’s worth. ,,
get one’s nose out of someone’s business,to stop interfering in someone else’s business, to mind one’s own business.,,,,Go away! Get your nose out of my business! ,Bob just can’t seem to get his nose out of other people’s business. ,,
keep one’s nose out of someone’s business,to refrain from interfering in some- one else’s business.,,,,,"Let John have his privacy, and keep your nose out of my business, too! ",,,
get one’s second wind,for one’s breathing to become stabilized after exerting oneself for a short time. to become more active or productive (after becoming tired for a time.),,,,,John was having a hard time running until he got his second wind. ,"“At last,” thought Ann, “I have my second wind. Now I can really swim fast.” I usually get my second wind early in the afternoon. ",Mary is a better worker now that she has her second wind. ,
get one’s teeth into something,"to start on something seriously, especially a difficult task.",,,,,"Come on, Bill. You have to get your teeth into your biology. ",I can’t wait to get my teeth into this problem. ,,
get on the good side of someone,to get into someone’s favor.,,,,,You had better behave properly if you want to get on the good side of Mary. ,"If you want to get on the good side of your teacher, you must do your homework. ",,
keep on the good side of someone,to stay in someone’s favor.,,,,,You have to work hard to keep on the good side of the manager. ,,,
get out of the wrong side of the bed,to get up in the morning in a bad mood.,,,,,What’s wrong with you? Did you get out of the wrong side of the bed today? ,Excuse me for being cross. I got out of the wrong side of the bed. ,,
get someone off the hook,to free someone from an obligation.,,,,,Thanks for getting me off the hook. I didn’t want to attend that meeting. ,I couldn’t get Tom off the hook by myself. ,,
get off the hook,to get free from an obligation.,,,,,She did every- thing she could to get off the hook. ,I couldn’t get off the hook by myself. ,,
get someone’s number,to find out about a person, to learn the key to understanding a person.,,,,I’m going to get your number if I can. You’re a real puzzle. ,I’ve got Tom’s number. He’s ambitious. ,,
get something off one’s chest,to tell something that has been bothering you.,,,,,I have to get this off my chest. I broke your window with a stone. ,I knew I’d feel better when I had that off my chest. ,,
get something out of one’s system,to be rid of the desire to do something, to do something that you have been wanting to do so that you are not bothered by wanting to do it anymore.,,,,I bought a new car. I’ve been wanting to for a long time. I’m glad I finally got that out of my system. ,I can’t get it out of my system! I want to go back to university and get a degree. ,,
get something under one’s belt,to eat or drink something, to learn something well, to assimilate some information, to get work done.,,I’d feel a lot better if I had a cool drink under my belt. ,Come in out of the cold and get a nice warm meal under your belt. ,I have to study ,tonight. I have to get a lot of algebra under my belt. 
get the brush-off,to be ignored or sent away, to be rejected.,,,,Don’t talk to Tom. You’ll just get the brush-off. ,"I went up to her and asked for a date, but I got the brush-off. ",,
get the hang of something,to learn how to do something, to learn how something works.,,,,"As soon as I get the hang of this computer, I’ll be able to work faster. ","Now that I have the hang of starting the car in cold weather, I won’t have to get up so early. ",,
get the last laugh,to laugh at or ridicule someone who has laughed at or ridiculed you, to put someone in the same bad position that you were once in.,,,,"John laughed when I got a D on the final exam. I got the last laugh, though. He failed the course. ",Mr. Smith said I was foolish when I bought an old building. I had the last laugh when I sold it a month later for twice what I paid for it. ,,
get the runaround,"to receive a series of excuses, delays, and referrals.",,,,,You’ll get the runaround if you ask to see the man- ager. ,I hate it when I get the runaround. ,,
give someone the runaround,"to give someone a series of excuses, delays, and referrals.",,,,,"If you ask to see the manager, they’ll give you the runaround. ",,,
get the shock of one’s life,to receive a serious (emotional) shock.,,,,,I opened the telegram and got the shock of my life. ,"I had the shock of my life when I won £5,000. ",,
get the show on the road,to get (something) started.,,,,,Hurry up! Let’s get the show on the road. ,"If you don’t get the show on the road now, we’ll never finish today. ",,
get time to catch one’s breath,to find enough time to relax or behave normally.,,,,,"When things slow down around here, I’ll get time to catch my breath.",,,
find time to catch one’s breath,to find enough time to relax or behave normally,,,,,Sally was so busy she couldn’t find time to catch her breath.,,,
getting on (in years),growing older.,,,,,Grandfather is getting on in years. ,"Yes, he’s really getting on. ",,
get to one’s feet,"to stand up, sometimes in order to address the audience.",,,,,"On a signal from the director, the singers got to their feet. ","I was so weak, I could hardly get to my feet. ",,
get to the bottom of something,to get an understanding of the causes of something.,,,,,We must get to the bottom of this problem immediately. ,"There is clearly something wrong here, and I want to get to the bottom of it. ",,
get under someone’s skin,to bother or irritate someone.,,,,,John is so annoying. He really gets under my skin. ,"I know he’s a nuisance, but don’t let him get under your skin. ",,
get what is coming to one,"to get what one deserves, usually something bad.",,,,,"If you cheat, you’ll get into trouble. You’ll get what’s coming to you. ",Bill got what was coming to him when Ann left him. ,,
give one what is coming to one,to give one what one deserves.,,,,,Jim gave Bill what was coming to him. ,,,
get wind of something,to hear about something, to receive information about something.,,,,I just got wind of the job vacancy and have applied. ,Wait until the treasurer gets wind of this. Somebody is going to get in trouble. ,,
gild the lily,to add ornament or decoration to something which is pleasing in its original state, to attempt to improve something which is already fine the way it is. (Often refers to flattery or exaggeration.),,,,Your house has lovely brickwork. Don’t paint it. That would be gilding the lily. ,"Oh, Sally. You’re beautiful the way you are. You don’t need make-up. You would be gilding the lily. ",,
give a good account of oneself,to do (something) well or thoroughly.,,,,,John gave a good account of himself when he gave his speech last night. ,"Mary was not hungry, and she didn’t give a good account of herself at dinner. ",,
give as good as one gets,to give as much as one receives.,,,,,John can hold his own in a fight. He can give as good as he gets. ,Sally usually wins a formal debate. She gives as good as she gets. ,,
give credit where credit is due,to give credit to someone who deserves it, to acknowledge or thank someone who deserves it.,,,,"We must give credit where credit is due. Thank you very much, Sally. ","Let’s give credit where credit is due. Mary is the one who wrote the report, not Jane. ",,
give ground,to retreat (literally or figuratively).,,,,,"When I argue with Mary, she never gives ground. ","I approached the barking dog, but it wouldn’t give ground. ",,
give it to someone straight,to tell something to someone clearly and directly.,,,,,"Come on, give it to me straight. I want to know exactly what happened. ",Quit wasting time and tell me. Give it to me straight! ,,
give of oneself,to be generous with one’s time and concern.,,,,,Tom is very good with children because he gives of himself. ,"If you want to have more friends, you have to learn to give of yourself. ",,
give one one’s marching orders,to sack someone, to dismiss someone from employment.,,,,Tom has proved unsatisfactory. I decided to give him his marching orders. ,"We might even give Sally her marching orders, too. ",,
give oneself airs,to act in a conceited or superior way.,,,,,Sally is always giving herself airs. You’d think she had royal blood. ,"Come on, John. Don’t behave so haughtily. Stop giving yourself airs. ",,
give one’s right arm (for someone or something),to be willing to give something of great value for someone or something.,,,,,I’d give my right arm for a nice cool drink. ,I’d give my right arm to be there. ,Tom really admires John. Tom would give his right arm for John. ,
give someone a piece of one’s mind,to reprimand or scold someone, to tell someone off.,,,,I’ve had enough from John. I’m going to give him a piece of my mind. ,"Sally, stop it, or I’ll give you a piece of my mind. ",,
give someone or something a wide berth,to keep a reasonable distance from someone or something. (Originally referred to sailing ships.),,,,,The dog we are approaching is very bad-tempered. Better give it a wide berth. ,Give Mary a wide berth. She’s in a very bad mood. ,,
give someone pause for thought,to cause someone to stop and think.,,,,,"When I see a golden sunrise, it gives me pause for thought. ",Witnessing an accident is likely to give all of us pause for thought. ,,
give someone the shirt off one’s back,to be very generous or solicitous towards someone.,,,,,Tom really likes Bill. He’d give Bill the shirt off his back. ,John is so friendly that he’d give anyone the shirt off his back. ,,
give someone tit for tat,to give someone something equal to what one has received," to exchange a series of things, one by one, with someone.",,,,They took my car after I took theirs. It was tit for tat. ,"He punched me, so I punched him. Every time he hit me, I hit him. I just gave him tit for tat. ",,
give something a lick and a promise,"to do something poorly, quickly and carelessly.",,,,,John! You didn’t clean your room! You just gave it a lick and a promise. ,"This time, Tom, comb your hair. It looks as if you just gave it a lick and a promise. ",,
give something a miss,not to go to something, not to bother with something, to leave something alone.,,,Betty decided to give the fair a miss this year. ,"I regretted having to give Monday’s lecture a miss, but I was just too busy to attend. ",,
give something one’s best shot,to give a task one’s best effort.,,,,,I gave the project my best shot. ,"Sure, try it. Give it your best shot! ",,
give the devil his due,to give your foe proper credit (for something).,,,,,John may squander money but give the devil his due. He makes sure his family are well taken care of.,,,
give the game away,to reveal a plan or strategy.,,,,,"Now, all of you have to keep quiet. Please don’t give the game away. ","If you keep giving out hints, you’ll give the game away. ",,
give the devil her due,to give your foe proper credit.,,,,,"She’s generally impossible, but I have to give the devil her due. She’s always honest.",,,
give up the ghost,to die, to release one’s spirit, to quit, to cease trying.,,"The old man sighed, rolled over, and gave up the ghost. ",I’m too young to give up the ghost. ,Don’t give up the ghost. Keep trying! ,The runner gave up the ghost and failed to complete the race. 
give voice to something,to express a feeling or an opinion in words, to speak out about something.,,,,The bird gave voice to its joy in the golden sunshine. ,All the people gave voice to their anger with the government. ,,
glut on the market,something on the market in great abundance.,,,,,"Right now, small computers are a glut on the market. ","Some years ago, small transistor radios were a glut on the market. ",,
glutton for punishment,"someone who seems to like doing or seeking out difficult, unpleasant, or badly paid tasks.",,,,,"If you work for this charity, you’ll have to be a glutton for punishment and work long hours for nothing. ",Jane must be a real glutton for punishment. She’s typing Bill’s manuscript free of charge and he doesn’t even thank her. ,,
go against the grain,to go against the natural direction or inclination.,,,,,You can’t expect me to help you cheat. That goes against the grain. ,Would it go against the grain for you to lend her money? ,,
go back on one’s word,to break a promise which one has made.,,,,,"I hate to go back on my word, but I won’t pay you £100 after all. ",Going back on your word makes you a liar. ,,
go begging,to be unwanted or unused. (As if a thing were begging for an owner or a user.),,,,,There is still food left. A whole lobster is going begging. Please eat some more. ,There are many excellent books in the library just going begging because people don’t know they are there. ,,
go broke,to run out of money and other assets.,,,,,This company is going to go broke if you don’t stop spending money foolishly. ,"I made some bad investments last year, and it looks as though I may go broke this year. ",,
go by the board,to get ruined or lost. (This is a nautical expression meaning to fall or be washed overboard.),,,,,I hate to see good food go by the board. Please eat up so we won’t have to throw it out. ,Your plan has gone by the board. The entire project has been cancelled. ,,
go down fighting,to continue the struggle until one is completely defeated.,,,,,I won’t give up easily. I’ll go down fighting. ,"Sally, who is very determined, went down fighting. ",,
go downhill,[for something] to decline and grow worse and worse.,,,,,This industry is going downhill. We lose money every year. ,"As one gets older, one tends to go downhill. ",,
go down in history,to be remembered as historically important.,,,,,Wellington went down in history as a famous general. ,This is the greatest affair of the century. I bet it’ll go down in history. ,,
go down like a lead balloon,"to fail, especially to fail to be funny.",,,,,Your joke went down like a lead balloon. ,"If that play was supposed to be a comedy, it went down like a lead balloon. ",,
go Dutch,to share the cost of a meal or some other event with some- one.,,,,,I’ll go out and eat with you if we can go Dutch. ,It’s getting expensive to have Sally for a friend. She never wants to go Dutch. ,,
goes without saying,[something] is so obvious that it need not be said.,,,,,It goes without saying that you must keep the place clean. ,Of course. That goes without saying. ,,
go for someone or something,to attack someone or something, to move or lunge towards someone or something.,,,,The dog went for the visitor and almost bit him. ,He went for the door and tried to break it down. ,,
go from bad to worse,to progress from a bad state to a worse state.,,,,,This is a terrible day. Things are going from bad to worse. ,My cold is awful. It went from bad to worse in just an hour. ,,
go haywire,to go wrong, to malfunction, to break down.,,,"We were all organized, but our plans suddenly went haywire. ","There we were, driving along, when the engine went haywire. It was two hours before the breakdown lorry came. ",,
go in for something,to take part in something, to enjoy (doing) something.,,,,John doesn’t go in for sports. ,None of them seems to go in for swimming. ,,
going great guns,going energetically or fast.,,,,,I’m over my cold and going great guns. ,Business is great. We are going great guns selling ice-cream. ,,
go in one ear and out the other,[for something] to be heard and then forgotten.,,,,,Everything I say to you seems to go in one ear and out the other. Why don’t you pay attention? ,I can’t concentrate. Things people say to me just go in one ear and out the other. ,,
go it alone,to do something by oneself.,,,,,"Do you need help, or will you go it alone? ",I think I need a little more experience before I go it alone. ,,
go like clockwork,to progress with regularity and dependability.,,,,,The building project is progressing nicely. Everything is going like clockwork. ,The elaborate pageant was a great success. It went like clockwork from start to finish. ,,
good enough for someone or something,adequate or fine for someone or something.,,,,,This seat is good enough for me. I don’t want to move. ,That table isn’t good enough for my office. ,,
good-for-nothing,a worthless person.,,,,,Tell that good-for-nothing to go home at once. ,Bob can’t get a job. He’s such a good-for-nothing. ,,
good riddance (to bad rubbish),[it is] good to be rid (of worthless persons or things).,,,,,"She slammed the door behind me and said, “Good riddance to bad rubbish!” “Good riddance to you, madam,” thought I. ",,,
go off at a tangent,to go off suddenly in another direction," suddenly to change one’s line of thought, course of action, etc.",,,,Please stick to one subject and don’t go off at a tangent. ,"If Mary would settle down and deal with one subject, she would be all right, but she keeps going off at tangents. ",,
go off at half cock,to proceed without proper preparation, to speak (about something) without adequate knowledge.,,,,Their plans are always going off at half cock. ,Get your facts straight before you make your presentation. There is nothing worse than going off at half cock. ,,
go off the deep end,to become angry or hysterical, to lose one’s temper.,,,,Her father went off the deep end when she came in late. ,The teacher went off the deep end when she saw his work. ,,
go over someone’s head,[for the intellectual content of something] to be too difficult for someone to understand.,,,,,All that talk about computers went over my head. ,I hope my lecture didn’t go over the pupils’ heads. ,,
go over something with a fine-tooth comb,to search through something very carefully.,,,,,I can’t find my calculus book. I went over the whole place with a fine-tooth comb. ,I searched this place with a fine-tooth comb and didn’t find my ring. ,,
go round in circles,"to keep going over the same ideas or repeating the same actions, often resulting in confusion, without reaching a satisfactory decision or conclusion.",,,,,We’re just going round in circles discussing the problems of the fête. We need to consult some- one else to get a new point of view. ,"Fred’s trying to find out what’s happened, but he’s going round in circles. No one will tell him any- thing useful. ",,
go sky-high,to go very high.,,,,,Prices go sky-high when- ever there is inflation. ,"Oh, it’s so hot. The temperature went sky-high about midday. ",,
go so far as to say something,to put something into words, to risk saying something.,,,,"I think that Bob is dishonest, but I wouldn’t go so far as to say he’s a thief. ","Red meat may be harmful in some cases, but I can’t go so far as to say it causes cancer. ",,
go the distance, to do the whole amount, to play the entire game, to run the whole race.,,,That horse runs fast. I hope it can go the distance. ,"This is going to be a long, hard project. I hope I can go the distance. ",,
stay the distance,to do the whole amount, to play the entire game, to run the whole race.,,,Jim changes jobs a lot. He never stays the distance. ,,,
go the whole hog,to do everything possible, to be extravagant.,,,,Let’s go the whole hog. Order steak and lobster. ,Show some restraint. Don’t go the whole hog and leave yourself penniless.,,
go through the motions,to make a feeble effort to do something, to pretend to do something.,,,,Jane isn’t doing her best. She’s just going through the motions. ,"Bill was supposed to be raking the garden, but he was just going through the motions. ",,
go through the proper channels,to proceed by consulting the proper persons or offices.,,,,,"If you want an answer to your question,you’ll have to go through the proper channels. ",Your application will have to go through the proper channels. ,,
go to Davy Jones’s locker,to go to the bottom of the sea, to drown. (Thought of as a nautical expression.),,,,My uncle was a sailor. He went to Davy Jones’s locker during a terrible storm. ,My camera fell overboard and went to Davy Jones’s locker. ,,
go to hell,to go away and stop bothering (someone),,,,,"He told her to go to hell, that he didn’t want her.",,,
go to the devil,to go away and stop bothering (someone).,,,,,Leave me alone! Go to the devil! ,,,
go to rack and ruin,"to become ruined or destroyed, especially due to neglect.",,,,,That lovely old house on the corner is going to go to rack and ruin. ,My lawn is going to rack and ruin. ,,
go to someone’s head,to make someone conceited, to make someone overly proud.,,,,"You did a fine job, but don’t let it go to your head. ","He let his success go to his head, and soon he became a complete failure. ",,
go to the limit,to do as much as is possible to do.,,,,,"Okay, we can’t afford it, but we’ll go to the limit. ",How far shall I go? Shall I go to the limit? ,,
go to the toilet,to eliminate bodily wastes through defecation or urination.,,,,,The child needed to go to the toilet. ,,,
go to the wall,to be defeated, to fail in business.,,,,"During the recession, many small companies went to the wall. ",The company went to the wall because of that contract. Now it’s broke and the employees are redundant. ,,
go to the loo,to eliminate bodily wastes through defacation or urination,,,,,The child needed to go to the loo.,,,
go to town,to make a great effort, to work with energy or enthusiasm.,,,,They really went to town on cleaning the house. It’s spotless. ,You’ve really gone to town with the food for the party. ,,
go to waste,to be wasted, to be unused (and therefore thrown away).,,,,Eat your potatoes! Don’t let them go to waste. ,He never practices on the piano. It’s sad to see talent going to waste. ,,
grasp the nettle,to tackle a difficult or unpleasant task with firmness and determination.,,,,,We must grasp the nettle and do something about our overspending. ,The education committee is reluctant to grasp the nettle of lack of textbooks. ,,
green with envy,envious, jealous.,,,,"When Sally saw me with Tom, she turned green with envy. She likes him a lot. ",I feel green with envy whenever I see you in your new car. ,,
grin and bear it,to endure something unpleasant with good humour.,,,,,There is nothing you can do but grin and bear it. ,I hate having to work for rude people. I suppose I have to grin and bear it. ,,
grind to a halt,to slow to a stop.,,,,,"By the end of the day, the factory had ground to a halt. ","The train ground to a halt, and we got out to stretch our legs. ",,
grist to the mill,something which can be put to good use or which can bring advantage or profit. (Grist was corn brought to a mill to be ground and so kept the mill operating.),,,,,"Some of the jobs that we are offered are more interesting than others, but all is grist to the mill. ","The firm is having to sell rather ugly souvenirs, but they are grist to the mill and keep the firm in business. ",,
grit one’s teeth,to grind one’s teeth together in anger or determination, to show determination.,,,,I was so angry that all I could do was stand there and grit my teeth. ,"All through the race, Sally was gritting her teeth. She was really determined. ",,
grow on someone,[for something] to become commonplace to a person.,,,,,"That music is strange, but it grows on you. ","I didn’t think I could ever get used to this town, but after a while it grows on one.",,
hail fellow well met,friendly to everyone, falsely friendly to everyone. (Usually said of males.),,,,"Yes, he’s friendly, sort of hailfellowwellmet. ",He’s not a very sincere person. Hailfellowwellmetyou know the type. ,He’s one of those hail,fellow
hail from somewhere,[for someone] to come originally from somewhere.,,,,,I’m from Edinburgh. Where do you hail from? ,I hail from the Southwest. ,,
hair of the dog (that bit one),an alcoholic drink taken when one has a hangover.,,,,,"Oh, I have a terrible hangover. I need a hair of the dog. ","That’s some hangover you’ve got there, Bob. Here, drink this. It’s a hair of the dog that bit you. ",,
hale and hearty,well and healthy.,,,,,Doesn’t Ann look hale and hearty after the baby’s birth? ,I don’t feel hale and hearty. I’m really tired. ,,
hand in glove (with someone),very close to someone.,,,,,"John is really hand in glove with Sally, although they pretend to be on different sides. ",The teacher and the headmaster work hand in glove. ,,
hand it to someone,"give credit to someone, often with some reluctance.",,,,,I must hand it to you. You did a fine job. ,We must hand it to Sally. She helped us a lot. ,,
handle someone with kid gloves,to be very careful with a sensitive or touchy person.,,,,,Bill has become so sensitive. You really have to handle him with kid gloves. ,You don’t have to handle me with kid gloves. I can take what you have to tell me. ,,
hand-me-down,"something, such as an article of used clothing, which has been “handed down,” or given, to someone because another person no longer needs it.",,,,,Why do I always have to wear my brother’s hand-me-downs? I want some new clothes. ,This is a nice shirt. It doesn’t look like a hand-me-down at all. ,,
hand over fist,[for money and merchandise to be exchanged] very rapidly.,,,,,What a busy day. We took in money hand over fist. ,They were buying things hand over fist. ,,
hand over hand,[moving] one hand after the other (again and again).,,,,,Sally pulled in the rope hand over hand. ,The man climbed the rope hand over hand. ,,
hang by a hair,to be in an uncertain position, to depend on something very insubstantial.,,,,Your whole argument is hanging by a thread. ,,,
hang by a thread,to be in an uncertain position, to depend on something very insubstantial.,,,,"John hasn’t yet failed geometry, but his fate is hanging by a hair. ",,,
hang fire,to delay or wait, to be delayed.,,,,I think we should hang fire and wait for other information. ,Our plans have to hang fire until we get planning permission. ,,
hang in the balance,to be in an undecided state, to be between two equal possibilities.,,,,"The prisoner stood before the judge, his life hanging in the balance. ",The fate of the entire project is hanging in the balance. ,,
hang on by an eyebrow,to be just hanging on or just surviving.,,,,,"He hasn’t yet failed, but he is just hanging on by an eyebrow. ",,,
hang on by one’s eyebrows,to be just hanging on or just surviving.,,,,,The manager is just about to get sacked. She is hanging on by her eyebrows. ,,,
hang one’s hat up somewhere,to take up residence somewhere.,,,,,George loves London. He’s decided to buy a flat and hang his hat up there. ,Bill moves from place to place and never hangs his hat up anywhere. ,,
hang on someone’s every word,to listen carefully and obsequiously to everything someone says.,,,,,He gave a great lecture. We hung on his every word. ,Look at the way John hangs on Mary’s every word. He must be in love with her. ,,
hang on to someone’s coat-tails,"to gain good fortune or success through another person’s success, rather than through one’s own efforts.",,,,,"Bill isn’t very creative, so he hangs on to John’s coat-tails. ",Some people just have to hang on to somebody else’s coat-tails. ,,
hang on to your hat!,Prepare for a sudden surprise or shock.,,,,,Are you ready to hear the final score? Hang on to your hat! We won tennil!,,,
Hold on to your hat!,Prepare for a sudden surprise or shock.,,,,,Guess who got married. Hold on to your hat! ,,,
hard-and-fast rule,a strict rule.,,,,,It’s a hard-and-fast rule that you must be home by midnight. ,"You should have your project com- pleted by the end of the month, but it’s not a hard-and-fast rule. ",,
hard cash,"cash, not cheques or credit.",,,,,"I want to be paid in hard cash, and I want to be paid now! ",No plastic money for me. I want hard cash. ,,
hardly have time to breathe,to be very busy.,,,,,This was such a busy day. I hardly had time to breathe. ,They made him work so hard that he hardly had time to breathe. ,,
hard on someone’s heels,following someone very closely.,,,,,"I ran as fast as I could, but the dog was still hard on my heels. ","Here comes Sally, and John is hard on her heels. ",,
hard on the heels of something,soon after something.,,,,,There was a rainstorm hard on the heels of the high winds. ,They had a child hard on the heels of getting married. ,,
hark(en) back to something,"(Harken is an old form of hark, which is an old word meaning “listen.”) to have originated as something", to have started out as something, to remind one of something,,,The word icebox harks back to the old fashioned refrigerators which were cooled by ice. ,Our modern breakfast cereals hark back to the porridge and gruel of our ancestors. ,Seeing a horse and buggy in the park harks back to the time when horses drew milk wagons. ,Sally says it harkens back to the time when everything was delivered by horse drawn wagon.
hate someone’s guts,to hate someone very much.,,,,,"Oh, Bob is terrible. I hate his guts! ","You may hate my guts for saying so, but I think you’re getting grey hairs. ",,
haul someone over the coals,to give someone a severe scolding.,,,,,My mother hauled me over the coals for coming in late last night. ,The manager hauled me over the coals for being late again. ,,
have a bee in one’s bonnet,to have an idea or a thought remain in one’s mind, to have an obsession.,,,,She has a bee in her bonnet about table manners. ,I had a bee in my bonnet about swimming. I couldn’t stop wanting to go swimming. ,,
have a big mouth,to be a gossiper, to be a person who tells secrets.,,,,Mary has a big mouth. She told Bob what I was getting him for his birthday. ,You shouldn’t say things like that about people all the time. Everyone will say you have a big mouth. ,,
have a bone to pick (with someone),to have a matter to discuss with someone, to have something to argue about with someone.,,,,"Look, Bill. I’ve got a bone to pick with you. Where is the money you owe me? ","I had a bone to pick with her, but she was so sweet that I forgot about it. ",Ted and Alice have a bone to pick. ,
have a brush with something,to have a brief contact with something," to have a brief experience of something, especially with the law.",,,,Ann had a close brush with the law. She was nearly arrested for speeding. ,"When I was younger, I had a brush with death in a car accident, but I recovered. ",,
have a case (against someone),to have much evidence which can be used against someone in court.,,,,,Do the police have a case against John? ,"No, they don’t have a case. ",They are trying to build a case against him. ,My solicitor is busy assembling a case against the other driver. 
have a chip on one’s shoulder,to feel resentful, to bear resentment.,,,,What are you angry about? You always seem to have a chip on your shoulder. ,John has had a chip on his shoulder about the police ever since he got his speeding ticket. ,,
have a down on someone,to treat someone in an unfair or hostile way, to have hostile feelings towards someone, to resent and oppose someone.,,,That teacher’s had a down on me ever since I was expelled from another school. ,The supervisor has a down on any- one who refuses to work overtime. ,,
have a familiar ring,[for a story or an explanation] to sound familiar.,,,,,Your excuse has a familiar ring. Have you done this before? ,This exam paper has a familiar ring. I think it has been copied. ,,
have a foot in both camps,to have an interest in or to support each of two opposing groups of people.,,,,,The shop steward had been promised promotion and so had a foot in both camps during the strike—workers and management. ,"Mr. Smith has a foot in both camps in the parents/teachers dispute. He teaches maths, but he has a son at the school. ",,
have a go (at something),to give something a try.,,,,,"I’ve never fished before, but I’d like to have a go at it. ","Great, have a go now. Take my fishing rod and give it a try. ",,
have a good command of something,to know something well.,,,,,Bill has a good command of French. ,Jane has a good command of economic theory. ,,
have a good head on one’s shoulders,to have common sense, to be sensible and intelligent.,,,,"Mary doesn’t do well in school, but she’s got a good head on her shoulders. ",John has a good head on his shoulders and can be depended on to give good advice. ,,
have a heart,to be compassionate, to be generous and forgiving.,,,,"Oh, have a heart! Give me some help! ","If Ann had a heart, she’d have made us feel more welcome. ",,
have a heart of gold,"to be generous, sincere, and friendly.",,,,,Mary is such a lovely person. She has a heart of gold. ,You think Tom stole your watch? Impossible! He has a heart of gold. ,,
have a heart of stone,to be cold and unfriendly.,,,,,Sally has a heart of stone. She never even smiles. ,The villain in the play had a heart of stone. He was an ideal villain. ,,
have a heart-to-heart (talk),to have a sincere and intimate talk.,,,,,I had a heart-to-heart talk with my father before I went off to col- lege. ,"I have a problem, John. Let’s sit down and have a heart-to-heart. ",,
have a lot going for one,to have many things working to one’s benefit,,,,,Jane is so lucky. She has a lot going for her. ,"He’s made a mess of his life, even though he had a lot going for him. ",,
have a low boiling-point,to get angry easily.,,,,,Be nice to John. He’s upset and has a low boiling-point. ,"Mr. Jones certainly has a low boiling-point. I hardly said anything, and he got angry. ",,
have an axe to grind,to have something to complain about or discuss with someone.,,,,,"Tom, I need to talk to you. I have an axe to grind. ",Bill and Bob went into the other room to dis- cuss the matter. They each had an axe to grind. ,,
have a near miss,nearly to crash or collide.,,,,,The planesflying much too closehad a near miss. ,I had a near miss while driving over here. ,,
have an itching palm,to be in need of a tip, to tend to ask for tips.,,,,"The taxi-driver was troubled by an itching palm. Since he refused to carry my bags, I gave him nothing. ",,,
have an itchy palm,to be in need of a tip, to tend to ask for tips. ( As if placing money in the palm would stop its itching.,,,,All the waiters at that restaurant have itchy palms. ,,,
have another think coming,to have to rethink something because one was wrong the first time.,,,,,She’s quite wrong. She’s got another think coming if she wants to walk in here like that. ,You’ve got another think coming if you think you can treat me like that! ,,
have an out,to have an excuse, to have a (literal or figurative) means of escape or avoiding something.,,,,"He’s very clever. No matter what happens, he always has an out. ","I agreed to go to the party, but now I don’t want to go. I wish I had an out. ",,
have ants in one’s pants,to become restless, to fidget.,,,,Sit still! Have you got ants in your pants? ,The children have ants in their pants. It’s time to go home. ,,
have a penchant for doing something,"to have a taste, desire, or inclination for doing something.",,,,,John has a penchant for eating fattening foods. ,Ann has a penchant for buying clothes. ,,
have a price on one’s head,"to be wanted by the authorities, who have offered a reward for one’s capture.",,,,,"We captured a thief who had a price on his head, and the police gave us the reward. ","The crook was so mean, he turned in his own brother, who had a price on his head. ",,
have a say (in something),to have a part in making a decision.,,,,,I’d like to have a say in choosing the carpet. ,He says he seldom gets to have a say. ,,
have a voice (in something),to have a part in making a decision.,,,,,John wanted to have a voice in deciding on the result also.,,,
have a snowball’s chance in hell,to have no chance at all. (A snowball would melt in hell.),,,,,He has a snowball’s chance in hell of passing the test. ,You don’t have a snowball’s chance in hell of her agreeing to marry you. ,,
have a soft spot for someone or something,to be fond of someone or something.,,,,,John has a soft spot for Mary. ,I have a soft spot for the countryside. ,,
have a sweet tooth,"to have the desire to eat many sweet foods, especially candy and pastries.",,,,,"I have a sweet tooth, and if I don’t watch it, I’ll really get fat. ",John eats sweets all the time. He must have a sweet tooth. ,,
